ID	qvalue
GO:0030218	6.05711420498641e-4
GO:0034101	6.05711420498641e-4
GO:0030099	0.0018231961729856788
GO:0002262	0.0022585242334540886
GO:0061515	0.0057312902400498845
GO:0045667	0.007786799833675936
GO:0048821	0.010035644706814959
GO:0098771	0.020875094590595257
GO:0071902	0.02934090051036687
GO:0001649	0.04016484751030647
GO:0007130	0.04016484751030647
GO:0035580	4.896830004772348e-4
GO:0009898	0.0012504465003643774
GO:0098562	0.005130520160518338
GO:0098794	0.005830727580715562
GO:0005938	0.005830727580715562
GO:0042581	0.005830727580715562
GO:0009925	0.005830727580715562
GO:0045178	0.008440730565400652
GO:0034774	0.010640909611161042
GO:0031983	0.010640909611161042
GO:0060205	0.010640909611161042
GO:0000795	0.02520417851868244
GO:0099086	0.02520417851868244
GO:1904724	0.02520417851868244
GO:0016323	0.027226923761197546
GO:0062023	0.02862771657572923
GO:0045211	0.03038350967502651
GO:0030506	0.002742785539480077
