ID	qvalue
GO:0032103	1.1431568176637682e-8
GO:0009615	1.810217651486207e-7
GO:0009617	1.810217651486207e-7
GO:0070372	5.804144032302785e-7
GO:0051607	6.75779575820711e-7
GO:0140546	6.75779575820711e-7
GO:0070371	1.2267149162115138e-6
GO:0031349	1.2267149162115138e-6
GO:0002218	1.5245304870473736e-6
GO:0002253	1.740465795710665e-6
GO:0034341	4.186522389667719e-6
GO:0035456	1.247474677271101e-5
GO:0002833	1.247474677271101e-5
GO:0070374	1.7063033602159696e-5
GO:0002495	1.847224633046675e-5
GO:0045089	2.188187829601026e-5
GO:0045088	2.3988109601775855e-5
GO:0032496	2.3988109601775855e-5
GO:0002504	2.3988109601775855e-5
GO:0002764	2.633853960226419e-5
GO:1903901	2.633853960226419e-5
GO:0002237	3.799044295797682e-5
GO:0002758	3.8717420392816264e-5
GO:0002757	3.8717420392816264e-5
GO:0002478	6.642259736206321e-5
GO:0002831	6.642259736206321e-5
GO:0002221	6.642989122161277e-5
GO:0048525	7.649175650035167e-5
GO:0019882	8.627375536299542e-5
GO:0048002	1.2575640081329063e-4
GO:0043408	1.4301679157793e-4
GO:0019886	1.5287191810192495e-4
GO:0043410	1.6622505897155373e-4
GO:0046597	1.9321231512668316e-4
GO:0034340	2.0254949067171818e-4
GO:0019884	2.1536017353558434e-4
GO:0002697	2.1689542188604944e-4
GO:0045071	2.3151233018148314e-4
GO:0001819	2.3151233018148314e-4
GO:1903900	2.975398172763457e-4
GO:0019221	3.224629917753735e-4
GO:0002761	3.522477562822817e-4
GO:0046596	4.513497320668874e-4
GO:0002548	5.231156414075921e-4
GO:0006935	6.263345393082057e-4
GO:0042330	6.263345393082057e-4
GO:0002573	6.435687876850074e-4
GO:0042100	6.607935828541731e-4
GO:0030888	7.655853091616213e-4
GO:0140888	7.655853091616213e-4
GO:0002683	7.692438560825694e-4
GO:0002699	7.88200174687318e-4
GO:0060337	7.982839034502009e-4
GO:0032480	8.013498319074778e-4
GO:0071357	8.605272360724485e-4
GO:0050900	8.621864622524363e-4
GO:0052372	8.637664342771851e-4
GO:0140374	8.637664342771851e-4
GO:0050792	8.902545491110135e-4
GO:0040017	9.061495812412671e-4
GO:0050729	9.524870708071068e-4
GO:0032479	9.915216021463545e-4
GO:0032606	9.915216021463545e-4
GO:0002687	0.0012939708989538228
GO:0030595	0.001294017593368086
GO:0070661	0.0013766613710162285
GO:0043903	0.0014687787272711099
GO:0002685	0.0015236272653312503
GO:0030522	0.0015395918178888798
GO:0030335	0.001597387121613422
GO:0046651	0.0016712321683567287
GO:0002366	0.001717556335725327
GO:0071674	0.0018672698004509871
GO:0002263	0.0018688850640990928
GO:0046718	0.0018688850640990928
GO:0071347	0.0018688850640990928
GO:0002286	0.0018688850640990928
GO:0042742	0.0018688850640990928
GO:2000147	0.0018688850640990928
GO:0032943	0.0018944243232605598
GO:0070663	0.001952846048048268
GO:0002688	0.002040455163218848
GO:0002753	0.002174150218700388
GO:0002690	0.0021958478791761285
GO:0045069	0.0021958478791761285
GO:0060326	0.0022810679367584463
GO:0072332	0.002314376742136803
GO:0044409	0.002314376742136803
GO:0050921	0.0024690217779845505
GO:0071675	0.0024690217779845505
GO:0035455	0.0025263104377856644
GO:0019058	0.002627649378334641
GO:1902105	0.0028020181067686498
GO:0090025	0.0030636449153165807
GO:0050670	0.0031107316999976617
GO:0002443	0.003122152207466066
GO:0097529	0.0032399924125469082
GO:0032755	0.0033859915787822358
GO:0032944	0.0034039458601910666
GO:0002460	0.0034691589125428477
GO:0032722	0.0036573342079561796
GO:0043068	0.0037329601394465194
GO:0071222	0.0038807235424552335
GO:0050727	0.004604936007828895
GO:1903131	0.004650494304367077
GO:0071396	0.004941347680192079
GO:0071219	0.005154734166150263
GO:0070555	0.005536111154043822
GO:0042771	0.005538650401126941
GO:0062207	0.006597444198117426
GO:0044000	0.00667126038439862
GO:0002224	0.006707106589497975
GO:0002763	0.006707106589497975
GO:0045637	0.008230664565636153
GO:0002700	0.008945383640691359
GO:0050920	0.009280598307494935
GO:0042113	0.009428759014089492
GO:0006909	0.009585393257571169
GO:0030224	0.010027516886967146
GO:0070482	0.010980488391447031
GO:0001666	0.012272897563307449
GO:0071216	0.01264212527274389
GO:0070665	0.012893339808959011
GO:0051701	0.013289929086196058
GO:0016032	0.013289929086196058
GO:0014015	0.013289929086196058
GO:0070373	0.013289929086196058
GO:0002718	0.013431953261315702
GO:0032642	0.013431953261315702
GO:0002367	0.01406022307866655
GO:0032602	0.014162921909014244
GO:0051251	0.01463169786479785
GO:0061326	0.014991425763443648
GO:0002399	0.014991425763443648
GO:0002503	0.014991425763443648
GO:0090026	0.014991425763443648
GO:0043065	0.015215121911011063
GO:0002285	0.015406969022424458
GO:1903706	0.016345002644518748
GO:0050867	0.016673683249408478
GO:0019079	0.01697542653002296
GO:0036293	0.017389424374208078
GO:0050731	0.017555768848045758
GO:0009991	0.017555768848045758
GO:0032608	0.017592820757252593
GO:0032648	0.017592820757252593
GO:0070269	0.017592820757252593
GO:1902930	0.017592820757252593
GO:0002768	0.019456770024699938
GO:0048662	0.019456770024699938
GO:0008015	0.019768625971090716
GO:0002703	0.01986636392511816
GO:0062208	0.01986636392511816
GO:0045655	0.019946622487812427
GO:0051090	0.02093255726519001
GO:0051249	0.021272103534803428
GO:0030099	0.021460698767258053
GO:0072331	0.022429877989940984
GO:0050864	0.02248828595198383
GO:0002577	0.022654430081148008
GO:0002830	0.022654430081148008
GO:0003352	0.022654430081148008
GO:0071621	0.022654430081148008
GO:2001233	0.022672952702441882
GO:0050830	0.022974569085326586
GO:0071677	0.022974569085326586
GO:0007186	0.023714865935435165
GO:0051091	0.023977112953463067
GO:0043409	0.024382081123474772
GO:0002274	0.025418032713348648
GO:0002396	0.02548575921699445
GO:0002501	0.02548575921699445
GO:0060338	0.025693146697755208
GO:0030330	0.02686303862282919
GO:0032635	0.02686303862282919
GO:0032675	0.02686303862282919
GO:0030890	0.02752059840173877
GO:0042531	0.02752059840173877
GO:0051092	0.027575217304605857
GO:0002696	0.027575217304605857
GO:0019218	0.027952973200502062
GO:0008630	0.028150106986003655
GO:0046885	0.028150106986003655
GO:0072028	0.02904446388749241
GO:0072088	0.02904446388749241
GO:0044703	0.02904446388749241
GO:0050730	0.029226806450119585
GO:0061333	0.03138354499305017
GO:0050855	0.03173401223556645
GO:0140894	0.03394660840961279
GO:0044706	0.03501726548412835
GO:0097305	0.035483918628184626
GO:0010878	0.03569517449237547
GO:0035458	0.03569517449237547
GO:0001959	0.035751049524760534
GO:0010720	0.036697929675381644
GO:0070304	0.037346764719475144
GO:0014013	0.03762453238819727
GO:1905332	0.03987567036847916
GO:0005765	0.003214978194274067
GO:0098852	0.003214978194274067
GO:0042613	0.003214978194274067
GO:0005774	0.004602004624700706
GO:0042611	0.01147320662375822
GO:0023026	0.00776957762192364
GO:0019865	0.012263098438311746
GO:0023023	0.012263098438311746
