TAS2R60
OTOF
SIGLEC1
NSG2
MYBPC2
LY6E
SMPDL3B
MX1
IFITM3
INCA1
IFIT3
TMEM176B
ACOXL
EPSTI1
ACSBG1
GBP6
USP18
LIF
SCN2B
OLFM1
TRPV4
OAS1
WNT6
TEX101
MIR186
COLEC12
HLA-DQB2
CD22
ESM1
CCL23
ILDR1
PPEF2
CYP4F3
HMOX1
SPRED3
TKTL1
PLA2G7
MILR1
PAX5
WNK2
DRC1
XAF1
NINJ1
HLA-DOA
ZBP1
CDR2L
CEACAM19
AR
FCGR1A
SLC22A18
FOSL1
IFITM2
C2
TMEM86A
LTA
TNNT3
GNG10
APCDD1
PGAM2
KIF9
CYP27B1
FCRL1
SLC16A5
FUOM
CD74
OPRL1
COL4A1
ACTA2
RELB
DEPP1
RGS9
DOCK4
P2RY6
HAAO
KLHL14
ABCG1
FAM89B
MEF2B
CST3
EMP3
RNASE4
PYCARD
NPC2
ITM2C
TYROBP
XPNPEP2
ADM
SPIB
CCN2
MIA2
PDLIM1
ICAM1
IRF7
ABLIM2
GPRC5B
RTP4
ZCCHC24
XCL2
IFITM1
BRI3
BNIPL
BMP2
MVD
TRIM5
SLC43A2
SPACA9
GALNT14
HLA-DMB
KMO
CAPG
RORC
UNC93B1
LILRB3
BST2
RARA
PRSS27
C3AR1
ARHGAP22
PARP14
KCNMB1
CDKN1A
MS4A1
DTX2
CMTM3
DPEP2
CD40
NFKB2
LSP1
LIPA
CYTH4
KIFC3
SLC15A3
TLR9
CDC14B
CRYL1
CTNNBIP1
NDRG1
LPAR5
TFEB
ZNF541
CD8B2
PLD4
CCR1
PRKCZ
PTGFR
CSTB
LBX2
CISD3
MAOB
PLPPR2
ZNF775
CTSA
SELPLG
CHAD
F13A1
LYSMD1
MUC1
TNFRSF1B
LST1
CCDC85B
RHEBL1
FAM177A1
ADORA3
SLC35F6
TNS4
IFI16
DHX58
POU2F2
CPNE7
LY86
BAIAP2L1
FMNL1
CREB3
PMAIP1
FCER1G
GBP2
LYN
UPB1
S100A10
STX3
PARP12
