TFR2
GRB10
DDR2
JAG1
CA3
KLHL29
RSPH14
MGAM
BLVRB
HOXA10
CYP4F22
ORM2
PAX8
SHROOM4
PRUNE2
TEX9
SLC7A5
TENT5C
C14orf132
FAM184A
SEC14L2
NOCT
CDK5R1
ATAD5
CELA1
ANK3
RSPH4A
PLEK2
RGCC
DNMT3B
KIF21A
CDC20
MYH10
RHPN2
SORCS2
ACP1
MPO
MPPED2
CADM1
PDK4
FSTL4
SYCP2
SLC22A23
FAM13A
ACHE
ARL4A
PDZD2
EXPH5
PPP4R4
FNBP1L
TRPC6
ADGRA3
FAM210B
FBN2
NOTCH3
MORN4
YPEL4
HESX1
SPDYA
GNAI1
ME1
STXBP4
TTC39A
FAM110C
C1QA
RGS1
STRADB
SORCS3
MFSD9
KALRN
ACSL6
PRTN3
CLDN12
SOX6
TRIM58
MYO6
PHEX
RIPOR3
CFD
HMBS
KIT
ORM1
ISCA1
OLFM4
SFRP5
DAB2IP
SNORD38A
NUAK1
GPR55
SPTB
NAP1L3
CAMP
NRCAM
PLEKHD1
KLF1
SYCE1
DNAJC6
CLEC12B
ANK1
INHBA
DTNA
LCN2
HORMAD1
KEL
SLC14A1
EPB42
RHD
RHCE
GYPA
XK
MS4A3
STARD13
TNS1
SLC4A1
ADAMTS2
SNCA
HEMGN
ITGA9
PAQR9
SDC1
TRIM10
ACKR1
GYPB
ALPK2
CGN
LRRC2
KCNMA1
MXRA8
ELANE
CTSE
CRISP2
RHAG
LTF
RNF152
C17orf99
TSPO2
ERFE
