gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
A1BG,4.428780531072659,0.22266786706503527,0.5481757517380097,0.40619795085619764,0.6845971595952537,0.9126466983451682
A1BG-AS1,148.63901976275514,0.07399725456417497,0.14948815608625243,0.495004129434038,0.6205972056090566,0.890865168472228
A2M,5.799614955066212,-0.4400536469322476,0.49248473396333237,-0.8935376400215717,0.3715693244588557,0.7668678168239523
A2M-AS1,39.274586063971164,0.4570645571377123,0.25455619195934115,1.795535019673443,0.0725684983991309,0.49455640037891213
A3GALT2,6.759485214298131,0.7555950809134018,0.4592862317110233,1.6451507333422788,0.09993873045747637,0.5361634325286321
A4GALT,4.121967463279584,0.03770896143152415,0.7472627257657924,0.05046278923236821,0.9597536014969086,0.9910924946070117
AAAS,682.8529220297218,-0.04240652944414116,0.08270999427663009,-0.5127134854139777,0.608151755104638,0.88525920684626
AACS,190.25476936981963,-0.029120596069423094,0.0974134120881035,-0.29893826163368126,0.7649871526160499,0.9375076100498404
AAGAB,564.8322727753502,0.09893838674428442,0.06817291091141378,1.4512859348612581,0.14670025617927315,0.5976677103600018
AAK1,1551.9884957820207,0.14751985205039428,0.12391060633820769,1.19053450233103,0.23383637752450998,0.6806775552200972
AAMDC,41.33920448806808,0.0253256310658139,0.16405268952138644,0.15437498245045456,0.8773140782959639,0.9679915473566456
AAMP,1242.723244047792,-0.06138206892333914,0.06984372783792042,-0.8788486929818891,0.3794833206540743,0.7736880142795418
AAR2,603.5094409573771,-0.10680201665995095,0.07877618200773882,-1.355765333352395,0.17517384457210694,0.6306335292114991
AARS,701.774631366417,-0.015619097788347247,0.13649433311308926,-0.11443037547504922,0.9088966359912597,0.9770546713587581
AARS2,298.5419920534417,-0.06019910209401317,0.10536004338110003,-0.5713655780898431,0.5677518572912672,0.8662570448839516
AARSD1,31.00241496844682,0.10754258313213683,0.1834683242811844,0.5861643068550436,0.5577651051141128,0.8619563709922284
