ID	qvalue
GO:0009615	2.21272561665923e-4
GO:0051607	6.675225516603404e-4
GO:0140546	6.675225516603404e-4
GO:0045087	0.002440080620019452
GO:0070269	0.0035681798151331982
GO:0007249	0.013017521404710016
GO:0048525	0.013575364115610677
GO:0001817	0.014148986260233413
GO:0001816	0.015139735544821228
GO:0043903	0.028723054966772587
GO:1903900	0.028747958392198215
GO:0043122	0.029845491532607
GO:0043123	0.03395776004410754
GO:0001819	0.0343583086729039
GO:0050778	0.03890499282023234
GO:0034340	0.03890499282023234
GO:0031347	0.03996119209115158
GO:0002252	0.03996119209115158
GO:0002831	0.03996119209115158
GO:0019884	0.03996119209115158
GO:0046596	0.03996119209115158
GO:0044403	0.04301494716906629
GO:0034341	0.04301494716906629
GO:0045088	0.04301494716906629
GO:0045655	0.04640179395168052
GO:0052372	0.04640179395168052
