gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
NM_001033352,299.43278895617266,0.12288564449787893,0.140217353343902,0.87639398096814225,0.3808158893534239,0.5521868545884049
NM_001038604,3770.524600533321,-0.3055496535163022,0.14565889802695545,-2.0977067495029216,0.03593105828580617,0.09551845309699251
NM_001113474,1566.699815352742,-0.2755675066770277,0.12480488440244879,-2.207986554343708,0.027245210464070493,0.07644362424210836
NM_178408,961.4642093356588,0.2196409032360334,0.10109076199974168,2.172709937992105,0.029802155338239746,0.08224667529535058
NM_178398,1520.4462500912607,-0.20568817692810606,0.09103904305962715,-2.2593402788009103,0.02386222622012577,0.06888349866575597
NM_178613,696.8151732283568,0.2166139775994492,0.12163110422551314,1.7809094061814215,0.07492725174020483,0.16936445211156553
NM_178407,944.4425809165306,-0.3823561667334183,0.09882765852697921,-3.8689186046944335,1.09319125594153e-4,7.334448503629963e-4
NM_001113563,2874.492763823933,0.1617472393051529,0.09436825134789295,1.7140005986638893,0.08652861591899914,0.1895492664935315
NM_001109897,85.7367589498548,-0.4367486679028037,0.2200895288195326,-1.9844136622280004,0.047209744213608,0.11857647261656105
NM_001130443,760.1303320763994,-0.12739288557429151,0.09571889911653286,-1.3309062969810925,0.18321984502192815,0.33162868322393346
NM_001130485,14875.039211638905,0.19171538054313142,0.07929431570662841,2.417769531582015,0.015615963996947835,0.048803540281810054
NM_001130484,14882.05927405475,0.19180878842150717,0.07926686219119149,2.419785306486143,0.015529672908056414,0.04859681875278363
NM_001122830,198.3940399346252,-0.0746256684239401,0.159463164761315,-0.4679806056504651,0.6397984590787278,0.7684017813609179
NM_177644,202.773023261822,-0.16205332402143138,0.15071168996778775,-1.07525384431737,0.28226109454656223,0.44885158014358845
NM_177643,1287.6332754461412,-0.013799536143855899,0.0956647223096179,-0.14424895416717817,0.8853038853015862,0.935281567663921
NM_172601,153.1915684361769,0.21891328540042507,0.1706913043950005,1.2825098863491782,0.1996638391143031,0.3523450874592079
NM_172589,581.3616701203529,-0.8829352470272975,0.16527288124416714,-5.3422874967786544,9.178093596523085e-8,1.410230644544322e-6
NM_172588,1106.9536023600847,-0.2755246205042942,0.11870449066817347,-2.3210968595492796,0.02028161684925424,0.06046949203866842
