"","Pool1","Pool2","Pool3","Pool4","Pool5","Pool6","Pool7","Pool8","Pool9","Pool10","Pool11","Pool12","Pool13","Pool14","Pool15","Pool16"
"ENSMUSG00000105300.1",0,0,0,0,1,2,0,0,0,0,0,0,1,0,1,0
"ENSMUSG00000096878.2",0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
"ENSMUSG00000070933.10",0,1,0,0,0,0,0,0,0,1,1,0,1,0,3,0
"ENSMUSG00000069720.4",0,1,0,0,0,0,0,1,0,1,0,0,1,0,3,2
"ENSMUSG00000089871.1",0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
"ENSMUSG00000073208.12",0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,0
"ENSMUSG00000106083.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105515.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105185.4",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
"ENSMUSG00000105916.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105310.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000096936.1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000040118.15",4,5,2,3,1,3,0,2,5,0,0,9,5,1,2,3
"ENSMUSG00000104886.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105526.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000106177.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097941.1",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"ENSMUSG00000028864.7",196,169,180,248,123,151,105,158,283,96,152,238,263,228,289,323
"ENSMUSG00000106339.1",8,6,2,9,2,7,2,7,6,2,2,2,18,5,11,5
"ENSMUSG00000105660.1",2,3,4,5,1,4,1,7,10,7,1,8,6,7,2,6
"ENSMUSG00000059179.6",55,92,87,59,28,19,43,34,33,50,53,42,31,44,67,38
"ENSMUSG00000109903.1",0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0
"ENSMUSG00000105706.1",0,0,0,1,0,2,0,2,0,0,0,0,2,0,2,1
"ENSMUSG00000091273.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000091827.2",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"ENSMUSG00000058643.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000106358.1",0,0,0,0,0,1,0,3,0,0,0,0,1,0,2,3
"ENSMUSG00000028780.13",4,12,7,14,3,6,6,9,2,3,0,3,6,4,7,7
"ENSMUSG00000002944.15",192,362,240,310,105,369,152,182,648,530,867,768,984,3481,2380,1010
"ENSMUSG00000028777.8",2,3,3,4,1,5,1,2,1,5,9,6,9,24,7,11
"ENSMUSG00000057614.6",1,0,1,0,0,4,1,0,3,1,0,1,0,1,1,0
"ENSMUSG00000104540.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000104718.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000105930.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089364.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000106498.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000097626.5",0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1
"ENSMUSG00000040003.18",19,28,13,27,9,31,17,15,37,10,18,38,25,25,23,26
"ENSMUSG00000106204.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000106559.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000106240.1",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000073174.6",2,1,1,0,0,0,1,0,0,1,0,0,0,1,0,5
"ENSMUSG00000105036.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000039987.15",180,269,230,263,141,194,158,176,144,110,101,167,96,150,159,191
"ENSMUSG00000082716.1",0,5,0,1,3,1,2,0,1,0,2,2,2,2,1,0
"ENSMUSG00000045435.9",88,62,71,126,62,105,52,103,122,47,59,144,120,112,114,103
"ENSMUSG00000039968.9",625,518,432,771,422,587,346,558,832,274,362,727,797,553,658,712
"ENSMUSG00000101013.1",0,8,8,7,6,3,0,2,0,2,6,1,1,2,3,1
"ENSMUSG00000028771.13",1461,2032,1398,2236,921,1419,925,1381,1635,1003,1061,1927,1546,1616,1520,1508
"ENSMUSG00000106158.1",13,25,12,19,6,40,9,15,25,11,8,20,20,29,22,16
"ENSMUSG00000087813.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000096269.3",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000106116.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000106104.1",0,5,2,8,1,4,5,6,1,1,1,0,0,1,1,1
"ENSMUSG00000039934.12",1622,2795,1803,2337,1102,2489,1649,1817,624,462,460,610,810,988,913,707
"ENSMUSG00000104920.1",14,28,25,18,5,20,23,11,9,7,4,13,10,14,12,11
"ENSMUSG00000105275.1",12,20,13,22,5,26,16,15,8,5,8,8,5,5,17,6
"ENSMUSG00000064280.14",32,80,39,49,24,48,32,30,14,8,7,7,19,23,25,15
"ENSMUSG00000039899.5",547,392,479,583,391,534,397,653,416,207,303,439,562,405,545,554
"ENSMUSG00000047221.5",27,27,16,31,20,20,12,19,41,13,18,25,35,40,27,43
"ENSMUSG00000048520.16",0,3,0,0,0,0,1,3,0,1,0,4,0,2,1,0
"ENSMUSG00000039883.5",0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000106135.1",11,6,8,9,10,14,6,19,13,5,6,12,9,10,12,12
"ENSMUSG00000106294.1",2,1,4,4,3,2,2,0,1,4,2,0,2,4,1,6
"ENSMUSG00000038525.16",215,178,200,240,155,145,140,242,196,127,183,208,219,223,252,232
"ENSMUSG00000044968.16",33,20,22,39,25,14,20,30,33,17,27,21,36,38,49,45
"ENSMUSG00000081242.1",17,15,15,10,6,3,5,9,28,5,14,13,14,14,10,18
"ENSMUSG00000029017.13",293,343,278,361,224,231,210,266,261,204,225,249,257,296,328,295
"ENSMUSG00000083006.1",4,0,0,2,0,3,2,0,5,3,0,1,4,3,3,4
"ENSMUSG00000029014.14",376,385,348,511,260,175,234,258,316,239,273,332,260,359,415,359
"ENSMUSG00000028932.7",858,922,854,951,526,639,660,618,732,416,569,632,581,815,831,736
"ENSMUSG00000029015.9",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000042453.14",31,10,23,44,15,10,4,22,42,5,7,38,25,22,18,24
"ENSMUSG00000090008.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073152.4",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000090197.1",0,1,0,0,0,0,0,0,0,2,0,0,3,0,0,0
"ENSMUSG00000105766.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000089910.1",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000089793.1",0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000090226.1",0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0
"ENSMUSG00000088578.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105106.1",0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,2
"ENSMUSG00000105081.1",5,5,2,4,0,0,2,1,1,0,5,1,3,4,7,4
"ENSMUSG00000029012.11",151,109,96,207,94,118,72,149,215,92,86,178,184,133,153,174
"ENSMUSG00000084235.2",30,24,38,49,29,74,24,93,50,15,22,67,85,43,38,63
"ENSMUSG00000096346.1",2,2,0,1,2,0,1,2,4,1,0,0,2,1,5,7
"ENSMUSG00000097207.7",8,11,8,6,9,9,6,15,9,2,3,3,12,5,10,3
"ENSMUSG00000105156.1",1,7,5,3,7,3,3,5,2,1,2,2,3,3,0,3
"ENSMUSG00000081855.4",361,353,367,478,245,168,265,240,356,221,289,370,272,428,427,357
"ENSMUSG00000106181.1",8,8,13,12,5,9,2,5,6,4,3,15,5,2,10,4
"ENSMUSG00000104913.1",247,291,303,318,199,118,141,183,345,236,350,321,323,508,481,387
"ENSMUSG00000105076.1",1,0,0,0,0,0,0,1,0,0,0,1,2,0,1,0
"ENSMUSG00000106379.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
"ENSMUSG00000094832.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0
"ENSMUSG00000105543.1",0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0
"ENSMUSG00000060879.3",1,1,1,1,1,0,0,1,1,0,1,0,0,1,0,0
"ENSMUSG00000104866.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000105254.1",0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0
"ENSMUSG00000105091.1",0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"ENSMUSG00000073147.3",232,342,270,244,137,196,169,187,220,168,191,207,208,245,279,210
"ENSMUSG00000106269.1",0,2,0,2,2,4,3,0,4,0,0,1,0,1,2,1
"ENSMUSG00000104765.1",1,2,1,0,0,2,0,0,3,0,0,3,3,3,3,2
"ENSMUSG00000105042.1",0,0,0,1,0,1,0,0,0,1,0,0,0,3,1,0
"ENSMUSG00000029004.15",2330,2578,1852,3165,1686,2632,1591,2546,3062,1561,1693,3210,3050,3031,3025,3056
"ENSMUSG00000088170.1",14,16,11,13,17,17,9,13,21,14,10,18,21,12,29,21
"ENSMUSG00000062604.11",1178,578,567,1191,785,622,520,975,1461,400,604,1286,1434,964,1088,1317
"ENSMUSG00000088359.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000105565.1",0,0,0,1,2,1,0,0,2,0,1,3,0,2,2,3
"ENSMUSG00000105987.4",2597,2401,2085,3510,1717,1629,1550,2189,2349,1124,1436,2645,2100,1855,2025,2493
"ENSMUSG00000096832.1",0,0,0,2,0,0,0,0,0,0,0,1,1,4,0,1
"ENSMUSG00000057541.14",76,83,69,87,34,26,24,53,53,39,79,70,48,48,41,47
"ENSMUSG00000028999.15",214,174,139,230,125,127,116,171,204,87,131,149,180,175,218,180
"ENSMUSG00000104569.1",6,3,5,12,8,10,5,9,8,3,4,13,13,10,6,19
"ENSMUSG00000086697.1",6,2,6,10,5,7,5,5,4,8,8,6,4,6,3,10
"ENSMUSG00000065329.1",0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0
"ENSMUSG00000028998.6",59,105,132,60,44,11,43,18,41,80,65,22,25,40,92,64
"ENSMUSG00000097180.5",42,34,24,32,11,46,32,35,48,14,15,50,54,20,35,36
"ENSMUSG00000095205.1",2,1,0,2,1,0,4,1,1,0,1,1,0,1,0,2
"ENSMUSG00000028995.14",500,762,478,683,313,392,334,369,621,562,501,662,478,763,831,607
"ENSMUSG00000105866.1",73,90,84,96,59,42,57,56,68,75,86,75,51,87,112,85
"ENSMUSG00000106118.1",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"ENSMUSG00000028986.12",127,96,87,194,81,163,90,168,145,60,95,174,179,153,142,175
"ENSMUSG00000106133.1",28,38,25,47,21,37,16,30,39,14,27,39,32,39,32,38
"ENSMUSG00000106665.1",1,1,2,2,2,6,4,3,5,3,1,7,9,6,4,6
"ENSMUSG00000048439.15",80,58,71,117,78,81,56,86,72,36,43,57,66,60,48,64
"ENSMUSG00000099891.1",11,3,5,5,2,1,4,4,5,1,4,2,2,4,8,5
"ENSMUSG00000105713.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
"ENSMUSG00000081071.1",135,116,91,200,102,212,104,207,151,50,50,181,195,131,100,165
"ENSMUSG00000038319.14",2,6,0,2,0,1,0,3,1,1,0,4,2,1,3,4
"ENSMUSG00000086729.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000028978.12",0,3,1,4,1,1,1,5,0,8,3,7,5,6,5,5
"ENSMUSG00000086769.7",0,2,0,0,1,3,0,1,0,0,0,0,1,0,1,0
"ENSMUSG00000038295.14",12,20,8,10,6,6,6,10,22,29,20,20,14,23,23,24
"ENSMUSG00000028973.18",272,262,229,331,156,109,141,158,250,199,209,211,217,253,322,285
"ENSMUSG00000038276.12",10,8,5,4,9,5,6,8,7,7,6,10,8,7,10,8
"ENSMUSG00000028969.10",150,138,104,200,125,82,111,124,162,70,102,147,157,165,146,194
"ENSMUSG00000028962.14",555,539,484,583,356,200,299,298,579,394,525,510,484,679,703,592
"ENSMUSG00000028959.14",280,339,255,291,196,153,197,181,207,161,222,205,176,289,327,247
"ENSMUSG00000028958.14",61,56,71,73,71,67,60,84,106,75,71,116,84,132,146,99
"ENSMUSG00000105858.1",0,0,0,0,0,0,0,0,2,0,1,0,0,1,1,1
"ENSMUSG00000104190.1",0,1,0,0,0,0,1,1,1,1,0,3,0,0,1,1
"ENSMUSG00000023353.14",226,279,215,254,106,54,124,100,290,288,331,245,171,340,456,241
"ENSMUSG00000067724.5",4,3,2,7,1,13,4,7,4,6,4,6,14,17,15,9
"ENSMUSG00000038204.13",0,1,0,0,2,2,1,0,0,0,2,3,0,0,0,0
"ENSMUSG00000038199.12",1,4,0,1,0,2,0,2,0,2,1,2,3,2,3,2
"ENSMUSG00000028953.10",547,650,606,622,344,221,383,274,442,384,513,447,375,695,643,528
"ENSMUSG00000067719.5",80,95,65,80,46,72,48,66,70,33,58,69,59,73,66,63
"ENSMUSG00000038181.16",310,421,381,318,205,124,287,158,285,247,317,205,229,390,548,355
"ENSMUSG00000028949.13",6,17,15,6,12,6,8,10,5,5,13,4,7,21,14,19
"ENSMUSG00000038165.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000028954.11",527,543,497,619,314,278,308,334,527,445,444,552,452,523,629,580
"ENSMUSG00000097275.1",57,64,53,57,28,50,32,42,85,51,45,84,82,74,97,94
"ENSMUSG00000055235.11",9,19,5,16,7,7,7,5,11,13,9,13,24,15,21,19
"ENSMUSG00000038135.4",2,8,3,0,3,0,3,2,2,8,5,1,2,7,3,8
"ENSMUSG00000028945.9",624,951,702,903,409,738,456,633,649,441,474,755,624,676,677,585
"ENSMUSG00000089475.1",8,7,6,12,6,13,5,13,6,6,3,7,13,8,8,5
"ENSMUSG00000028944.14",131,144,129,140,55,58,42,84,205,190,208,184,206,282,326,239
"ENSMUSG00000087314.1",2,5,1,1,0,2,2,0,8,5,8,5,5,11,8,5
"ENSMUSG00000086446.1",11,2,5,3,6,8,2,6,22,9,8,8,17,21,18,11
"ENSMUSG00000059631.6",1,2,1,1,0,0,0,0,6,7,9,1,3,11,12,4
"ENSMUSG00000043833.6",7,9,14,5,3,1,3,3,9,15,5,18,7,21,18,4
"ENSMUSG00000077832.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000028938.9",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000088842.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000038072.14",181,290,211,297,126,263,171,155,242,171,193,219,214,318,332,300
"ENSMUSG00000038056.15",2566,2764,2050,2936,1631,2422,1508,2161,2931,1649,1598,2666,2510,2702,2900,2508
"ENSMUSG00000106457.1",41,39,27,38,23,100,24,54,60,22,34,58,63,47,38,41
"ENSMUSG00000092344.1",6,6,4,7,3,7,3,7,18,3,5,8,11,5,9,12
"ENSMUSG00000092181.1",0,1,2,0,0,1,0,3,1,0,0,0,1,1,1,0
"ENSMUSG00000092510.1",6,2,2,2,2,2,1,2,3,2,0,0,1,4,10,0
"ENSMUSG00000097236.1",3,4,1,4,3,4,2,6,3,4,4,7,4,7,10,7
"ENSMUSG00000077387.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"ENSMUSG00000038044.8",0,0,0,1,0,0,2,0,3,0,0,2,2,2,3,0
"ENSMUSG00000101856.1",43,35,24,51,34,49,18,43,35,26,20,33,65,31,38,46
"ENSMUSG00000105744.1",0,1,1,2,0,1,1,1,2,0,0,2,4,0,3,3
"ENSMUSG00000106241.1",11,16,17,15,12,15,9,22,16,7,14,11,11,16,18,15
"ENSMUSG00000028933.11",159,139,109,212,135,139,118,202,176,71,90,135,156,129,145,181
"ENSMUSG00000104549.1",0,1,0,2,1,1,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000056367.14",0,1,2,3,2,3,0,1,1,0,0,3,2,0,1,0
"ENSMUSG00000105052.4",0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0
"ENSMUSG00000104824.1",0,1,0,0,0,2,0,5,0,0,1,2,1,0,0,2
"ENSMUSG00000095550.2",0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0
"ENSMUSG00000104651.1",0,0,0,1,0,0,0,1,0,0,1,1,3,0,1,0
"ENSMUSG00000106627.1",0,1,0,0,0,0,0,3,0,0,0,1,2,0,1,0
"ENSMUSG00000096045.7",0,3,0,0,0,3,0,2,0,0,1,2,0,0,0,2
"ENSMUSG00000091049.8",0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,0
"ENSMUSG00000090671.1",1,2,0,1,0,1,0,4,0,0,0,0,2,0,1,0
"ENSMUSG00000067700.5",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"ENSMUSG00000073119.3",0,1,0,0,0,0,0,3,0,0,1,0,1,0,1,0
"ENSMUSG00000073117.2",0,2,0,0,0,0,0,2,0,0,0,1,0,0,0,2
"ENSMUSG00000105422.1",0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000073116.4",0,0,0,0,0,0,0,1,0,0,0,0,5,1,1,0
"ENSMUSG00000051940.2",0,1,0,0,0,3,0,4,0,0,1,1,2,0,0,3
"ENSMUSG00000067698.4",0,0,0,0,0,0,0,3,0,0,0,1,2,0,0,0
"ENSMUSG00000059645.6",0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"ENSMUSG00000105786.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000029044.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000061576.15",0,3,0,1,0,1,0,2,0,0,1,2,5,1,2,0
"ENSMUSG00000080941.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSMUSG00000105946.1",0,0,0,0,1,1,0,1,0,0,1,2,0,0,2,0
"ENSMUSG00000106537.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000048703.9",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000086505.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000002221.11",1001,878,687,1326,659,694,591,923,1151,504,583,1126,1151,1064,1060,1170
"ENSMUSG00000105223.1",0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0
"ENSMUSG00000105375.1",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"ENSMUSG00000039106.6",0,2,0,0,0,0,0,2,0,0,0,0,0,1,0,0
"ENSMUSG00000104882.1",1,6,2,6,4,9,1,5,5,0,1,15,8,4,5,3
"ENSMUSG00000106390.1",1,0,2,3,5,0,0,2,0,0,2,5,5,1,0,1
"ENSMUSG00000104777.1",0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"ENSMUSG00000097673.1",2,4,7,1,1,1,6,6,0,1,1,0,0,2,4,0
"ENSMUSG00000106030.1",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
"ENSMUSG00000045294.11",1442,1919,1810,1762,919,1493,1357,1141,852,565,673,728,796,1143,1178,976
"ENSMUSG00000039095.8",1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"ENSMUSG00000106160.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000044681.19",0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"ENSMUSG00000048271.14",1376,1491,1072,1693,909,916,845,1116,1875,881,1166,1786,1850,1861,2116,2017
"ENSMUSG00000002633.4",0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
"ENSMUSG00000097726.7",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0
"ENSMUSG00000097453.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000105775.1",44,35,40,41,51,13,33,25,47,30,33,60,35,70,45,61
"ENSMUSG00000104587.1",0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
"ENSMUSG00000029130.12",0,2,0,2,0,3,0,3,4,0,2,1,6,0,3,0
"ENSMUSG00000089975.2",0,0,0,0,0,0,0,1,0,2,0,1,0,0,1,1
"ENSMUSG00000010721.15",10,14,21,25,19,20,7,29,18,6,8,12,20,21,22,19
"ENSMUSG00000105741.1",2,2,2,1,2,6,3,2,5,0,0,0,2,7,3,3
"ENSMUSG00000093302.1",1,0,0,0,0,0,0,0,3,0,1,1,2,0,0,0
"ENSMUSG00000097561.1",0,1,2,5,4,2,0,1,2,1,2,4,2,2,4,0
"ENSMUSG00000001569.10",275,311,279,321,126,153,167,197,221,166,175,227,182,247,265,243
"ENSMUSG00000001566.9",0,2,0,0,0,0,0,5,0,0,0,5,2,0,1,0
"ENSMUSG00000093875.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000078182.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000039000.8",500,482,419,576,299,538,322,470,559,269,337,593,544,486,551,535
"ENSMUSG00000104648.1",0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"ENSMUSG00000088150.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSMUSG00000105032.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ENSMUSG00000053121.3",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000029131.14",818,933,815,1085,482,495,621,609,693,482,569,746,553,758,853,761
"ENSMUSG00000106558.1",6,12,15,17,13,0,12,16,28,16,25,33,16,18,26,27
"ENSMUSG00000105999.1",1,0,1,1,0,0,0,1,0,2,0,0,0,0,2,0
"ENSMUSG00000106551.1",0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"ENSMUSG00000105437.1",1,1,0,0,0,1,0,2,1,1,1,3,4,3,1,1
"ENSMUSG00000105926.1",8,13,8,7,2,12,5,6,2,3,2,5,1,3,5,6
"ENSMUSG00000105439.1",1,1,5,1,3,2,0,2,3,2,2,7,2,3,1,3
"ENSMUSG00000025746.11",287,480,434,697,377,1291,875,715,66,52,98,121,86,137,142,108
"ENSMUSG00000025747.12",600,361,392,630,360,267,246,422,519,217,270,425,418,357,387,441
"ENSMUSG00000104667.1",3,0,2,4,2,3,0,4,2,1,2,3,2,0,3,4
"ENSMUSG00000086815.4",0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0
"ENSMUSG00000044576.6",2,6,5,3,4,2,6,2,2,4,4,4,1,4,6,6
"ENSMUSG00000025745.12",1233,1271,1167,1428,813,898,817,975,1102,742,988,1116,1075,1348,1311,1220
"ENSMUSG00000059447.13",707,739,597,896,436,503,435,550,671,399,502,690,598,639,676,692
"ENSMUSG00000088113.1",2,2,0,2,1,0,0,0,1,0,0,0,0,3,0,0
"ENSMUSG00000067642.11",3,1,2,1,0,0,0,4,1,2,1,0,4,4,3,2
"ENSMUSG00000075703.15",413,330,269,509,268,254,222,393,558,247,247,578,467,393,416,545
"ENSMUSG00000085099.1",54,44,26,68,32,27,38,40,43,24,32,40,45,46,30,50
"ENSMUSG00000073102.7",0,1,0,0,1,1,0,2,1,1,0,1,0,1,3,0
"ENSMUSG00000106311.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000062372.13",2,7,7,3,0,0,1,5,4,3,2,6,5,4,4,1
"ENSMUSG00000029182.10",0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1
"ENSMUSG00000053194.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000106300.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSMUSG00000053214.7",0,1,0,0,0,0,0,1,0,0,1,1,3,0,0,1
"ENSMUSG00000049265.7",1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,3
"ENSMUSG00000029175.17",472,965,592,696,339,557,440,397,605,710,559,692,421,874,845,613
"ENSMUSG00000029177.9",671,536,645,596,399,267,328,477,739,516,612,599,604,712,966,794
"ENSMUSG00000029168.14",1,3,0,0,0,1,0,2,1,0,0,0,3,1,2,0
"ENSMUSG00000106173.1",0,0,1,0,1,2,0,1,0,0,0,0,2,0,0,1
"ENSMUSG00000029166.14",6,3,4,1,1,3,0,4,3,2,4,5,11,8,8,3
"ENSMUSG00000106229.1",0,3,0,0,0,0,0,1,1,1,1,3,1,3,1,2
"ENSMUSG00000087258.1",0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
"ENSMUSG00000038828.13",574,557,443,715,379,431,386,438,620,299,425,643,602,699,660,638
"ENSMUSG00000107086.1",2,7,5,6,2,6,1,6,5,1,7,5,9,5,6,10
"ENSMUSG00000029165.17",208,163,172,204,120,90,104,159,168,85,96,140,181,221,197,221
"ENSMUSG00000107201.1",42,50,36,52,21,104,31,68,67,32,26,53,60,53,62,52
"ENSMUSG00000038803.7",162,207,185,174,105,48,90,87,118,105,146,96,81,164,197,136
"ENSMUSG00000029163.9",699,435,631,589,488,139,400,258,360,234,429,248,280,423,622,544
"ENSMUSG00000029162.15",95,94,97,111,62,38,54,56,102,67,86,79,84,102,118,90
"ENSMUSG00000029161.7",8,9,3,11,6,3,2,3,7,3,6,10,13,10,13,18
"ENSMUSG00000006638.14",3,8,2,2,2,1,2,4,6,2,4,5,4,6,11,1
"ENSMUSG00000045302.13",538,611,553,578,335,291,404,361,545,424,528,460,494,839,872,684
"ENSMUSG00000006642.3",0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSMUSG00000006641.12",27,17,23,34,18,22,22,31,37,32,28,35,38,31,40,39
"ENSMUSG00000013622.15",141,148,116,183,80,79,97,98,183,112,131,180,172,183,204,174
"ENSMUSG00000013629.16",426,455,425,481,262,124,217,236,316,284,321,309,284,288,367,322
"ENSMUSG00000029151.14",0,0,1,0,0,0,0,4,0,1,0,2,1,2,0,1
"ENSMUSG00000104299.1",0,1,1,0,1,0,0,1,0,0,0,0,0,0,2,1
"ENSMUSG00000053856.7",0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1
"ENSMUSG00000062077.14",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSMUSG00000107265.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSMUSG00000038676.6",0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0
"ENSMUSG00000107283.3",56,38,45,71,25,52,32,47,36,32,35,49,43,60,71,77
"ENSMUSG00000101678.3",4,5,7,5,4,5,6,6,6,0,2,6,7,9,5,7
"ENSMUSG00000106864.3",279,286,248,365,181,264,206,274,290,139,167,299,281,298,332,314
