"Sample_id","M1","M3","M4","M14","M15","M16"
"NM_173024",433,205,228,138,94,46
"NM_172551",401,306,328,340,327,321
"NM_173023",0,0,0,0,0,0
"NM_007904",125,21,14,48,57,59
"NM_007933",255,166,165,146,167,161
"NM_008033",1661,1483,1632,1806,1764,1605
"NM_010554",229,96,116,106,90,54
"NM_011239",4272,3997,4069,3477,3192,2683
"NM_011022",0,0,0,0,0,0
"NM_019662",79,36,54,91,109,67
"NM_177772",20,15,19,8,10,13
"NM_178577",522,446,486,533,508,427
"NM_009839",13,10,19,6,4,8
"NM_201393",4520,4317,3928,5966,5424,4935
"NM_001177833",1317,640,680,709,730,531
"NM_023852",0,0,0,0,0,0
"NM_018748",2104,1764,2003,2018,1910,1828
"NM_027504",59,43,37,47,57,61
"NM_028190",1548,1543,1858,1632,1554,1456
"NM_001081406",337,321,377,310,281,282
"NM_007960",13,7,12,28,20,35
"NM_009631",127,101,149,199,215,182
"NM_016714",3777,3311,3726,2861,2779,2669
"NM_021302",12,4,2,4,3,7
"NM_019719",2012,1855,2068,1604,1549,1482
"NM_029803",1307,569,628,2244,2758,2205
"NM_029789",2929,2505,2645,2645,2521,2423
"NM_001282992",2721,2497,2537,1945,1631,1767
"NM_001285910",1951,1093,1251,2695,2595,2419
"NM_001285906",1850,1506,1753,1459,1481,1357
"NM_001286412",4555,3246,3703,4253,4165,3749
"NR_045792",0,0,0,0,0,0
"NM_001285512",2862,2390,2546,2574,2306,2001
"NR_045783",599,461,600,382,348,284
"NR_045782",54,56,59,49,41,53
"NM_001284507",0,0,0,0,0,0
"NM_001284506",2699,1386,1391,3316,3744,3450
"NM_001285500",68,42,57,43,30,29
"NM_001285458",31,23,18,41,40,29
"NR_045761",0,0,0,0,0,0
"NM_001252492",407,359,351,260,220,219
"NM_001252491",377,331,329,239,203,204
"NM_008001",91,86,89,90,71,54
"NM_001252501",0,0,0,0,0,0
"NR_104069",6964,6011,8092,5575,4840,4285
"NM_001146057",1247,1037,1042,970,975,984
"NM_177324",91,58,56,108,99,99
"NM_001146043",1526,1316,1688,1641,1618,1384
"NM_019549",17640,8167,9134,13169,11538,8850
"NM_026278",11,8,3,9,3,9
"NM_001290356",0,0,0,0,0,0
"NM_020042",1828,1510,1747,1669,1626,1690
"NM_023190",3848,3577,3822,3509,3137,2936
"NM_018798",311,314,300,312,300,365
"NM_019537",726,631,753,566,445,401
"NM_019536",12,10,7,15,16,12
"NM_022417",2312,1711,1907,2663,2978,2737
"NM_026468",2734,2396,2439,2472,2520,2110
"NM_027104",0,0,0,0,0,0
"NM_027103",12,6,7,13,8,7
"NM_001177843",973,946,920,871,871,890
"NM_001190473",577,546,609,487,520,473
"NM_001190466",7,8,9,6,4,2
"NM_019932",16856,7052,7009,5426,3841,2541
"NM_021347",0,0,0,0,3,0
"NM_021346",155,145,165,162,152,138
"NM_021345",1516,1290,1420,1172,1126,958
"NM_028184",244,215,213,242,215,206
"NM_134139",921,752,722,684,658,572
"NM_134138",725,632,693,585,508,440
"NM_133729",3534,3504,4416,3439,2857,2706
"NM_133726",3028,2531,2751,2557,2311,2140
"NM_001163246",950,725,902,1073,1024,970
"NM_001177900",7,3,4,4,6,5
"NM_001177844",1025,973,967,912,912,934
"NM_009083",10846,9389,10094,10845,11012,9212
"NM_009367",3,1,4,3,0,2
"NM_009613",27,13,11,14,17,15
"NM_013508",937,636,713,1160,1085,1096
"NM_026993",1,0,0,1,0,0
"NM_027093",267,196,230,236,217,189
"NM_027893",88,65,68,94,105,72
"NM_028003",570,469,540,422,369,341
"NM_028002",148,118,126,118,74,88
"NM_027892",6225,4797,6246,5200,4944,4888
"NM_001081132",1000,1121,1328,1025,888,949
"NM_001160415",1951,1677,1715,1629,1739,1607
"NM_001164523",0,0,0,0,0,0
"NM_001164518",5,7,7,6,3,1
"NM_011862",2923,2287,2536,2742,2604,2268
"NM_025372",2584,2359,2330,1795,1763,1450
"NM_025371",291,273,288,176,196,182
"NM_001290398",2495,2312,2587,1973,1854,1622
"NM_001290420",622,432,587,630,620,513
"NM_001290425",1450,1353,1403,1378,1310,1131
"NM_001290426",310,308,315,344,264,268
"NM_001165996",1,0,1,0,1,0
"NM_001165995",506,459,536,546,515,479
"NM_013619",1,0,2,0,0,0
"NM_013618",0,0,0,0,0,0
"NM_013617",0,0,0,0,0,0
"NM_001085516",0,0,0,0,0,0
"NM_001085515",0,0,1,1,2,2
"NM_001085513",0,0,0,0,0,0
"NM_001085499",0,0,0,0,0,0
"NM_001085509",0,0,0,0,0,0
"NM_001100609",0,0,0,0,0,0
"NM_001159604",2174,2049,2296,1978,1931,1997
"NM_001163470",2371,1661,1794,2836,3011,2655
