"Sample_id","M1","M3","M4","M14","M15","M16"
"NR_038009",205,205,280,191,167,162
"NR_037970",5770,5267,5768,5420,5374,5060
"NR_038008",0,0,0,0,0,0
"NR_038007",0,0,0,0,0,0
"NR_037906",1370,1219,1491,1344,1290,1161
"NR_038006",4,2,1,1,2,3
"NR_038005",9,17,11,8,5,15
"NR_037905",1174,1091,1351,1170,1135,998
"NR_038004",0,0,0,0,0,0
"NR_038003",0,2,1,0,0,0
"NR_038002",0,0,0,0,0,0
"NR_038001",0,0,0,0,0,0
"NR_038000",5,3,9,5,5,2
"NR_037865",3442,3194,3231,3492,2998,2952
"NR_030565",0,0,0,0,0,0
"NR_030564",0,0,0,0,0,0
"NR_029564",0,0,0,0,0,0
"NM_001199059",1045,923,952,730,670,600
"NM_001289503",27,21,29,19,27,21
"NM_001081248",0,0,0,0,0,0
"NM_007624",2507,2179,2360,2269,2054,1875
"NM_008637",479,421,517,407,345,264
"NM_001252567",31,22,18,27,28,23
"NM_008441",829,742,928,957,1085,993
"NM_008375",0,1,0,0,0,0
"NM_001162977",2,0,2,2,3,0
"NM_080440",9,2,3,0,2,1
"NM_133712",0,0,0,1,0,0
"NM_133711",0,0,0,0,0,0
"NM_009486",0,0,0,0,0,0
"NM_001078649",1474,1147,1245,1451,1405,1171
"NM_009802",3,0,0,3,3,0
"NM_009657",42,19,24,38,23,22
"NM_009808",31,22,10,24,20,15
"NM_011941",245,203,197,207,219,220
"NM_007704",10,6,3,15,13,3
"NM_010401",317,194,173,346,362,342
"NM_010459",226,190,201,210,193,164
"NM_010460",0,0,0,0,0,0
"NM_009458",1515,1186,1447,1563,1427,1334
"NM_009401",38,20,22,47,50,37
"NM_010926",1034,830,873,879,857,827
"NM_009661",21,14,25,34,20,40
"NM_146815",0,0,0,0,0,0
"NM_010184",255,487,470,571,414,643
"NM_026679",0,1,0,0,0,0
"NR_038088",0,3,2,1,1,2
"NM_198302",12,3,3,9,0,9
"NM_198292",4063,3861,3471,2702,2644,2392
"NM_198301",2240,1406,1774,3347,3966,3358
"NM_001290789",5,1,1,9,5,6
"NM_030266",2097,1906,2146,2403,2138,2236
"NM_198251",0,0,1,0,0,0
"NM_194059",4,11,10,11,4,6
"NM_198249",212,231,216,118,113,95
"NR_034043",35,11,41,24,32,22
"NR_033636",0,0,0,0,0,0
"NR_034042",243,236,244,174,200,242
"NR_033492",100,80,73,113,97,77
"NR_033486",0,0,0,0,0,0
"NM_203492",0,0,0,0,0,0
"NM_181753",0,0,0,0,0,0
"NM_203345",1,0,5,0,0,0
"NM_203320",6,3,3,0,1,1
"NR_033476",91,103,143,85,56,73
"NR_033475",0,0,0,0,0,0
"NM_183300",265,136,174,494,576,459
"NR_033473",10,10,8,12,7,14
"NR_033779",0,0,0,0,0,0
"NM_001083928",1423,1422,1460,1635,1533,1602
"NM_009451",15,9,6,10,9,11
"NM_010451",2,2,6,5,2,1
"NM_009535",28,13,35,26,7,20
"NM_010450",1,0,0,0,0,0
"NM_009598",279,126,137,130,357,274
"NM_009605",7,2,1,10,4,4
"NM_031254",493,258,223,668,806,662
"NM_031173",21,18,21,28,38,30
"NM_001168538",521,510,568,525,414,439
"NM_009728",1400,1228,1411,1443,1486,1590
"NM_009656",10252,9529,11738,8373,8152,7110
"NM_019670",1967,1614,1826,1273,1271,1219
"NM_001164563",46,34,30,28,21,16
"NM_001160150",0,0,0,0,0,0
"NM_178700",1386,1317,1426,1358,1288,1191
"NM_001166668",1395,1411,1464,1104,987,902
"NM_019485",1,0,0,3,1,1
"NM_008274",0,0,0,0,0,0
"NM_008398",3,2,4,1,1,1
"NM_008270",0,0,0,0,0,0
"NM_008520",143,140,128,167,125,126
"NM_009411",0,0,0,0,0,0
"NM_009478",2748,2154,2134,1345,1324,973
"NM_009429",33531,27723,30516,39741,37992,34948
"NM_010430",12,4,4,8,6,5
"NM_009477",43,21,41,20,17,7
"NM_009476",0,0,0,0,0,0
"NM_010476",263,280,333,200,141,161
"NM_009475",3,1,0,3,0,0
"NM_010475",89,123,134,101,56,67
"NM_010474",10,19,24,21,15,24
"NR_035500",4,3,4,3,1,0
"NR_035489",0,0,0,0,0,0
"NR_035490",7,3,5,8,2,1
"NR_035488",4,5,10,5,4,5
"NR_035487",0,0,0,0,0,0
"NR_035486",1,3,4,1,4,2
"NR_035484",0,0,0,0,0,0
"NM_001171739",3031,2874,3291,2778,2670,2335
"NM_001256000",14,12,5,3,4,1
"NM_001177798",843,632,783,681,673,618
"NM_001177797",0,2,0,2,1,0
"NM_001252261",11668,10356,10523,9851,8889,7483
"NM_001256085",1136,1051,1100,1222,1116,1074
"NM_007963",35,23,17,6,8,11
"NM_008058",21,13,11,10,3,7
"NM_007956",246,220,281,253,229,248
"NM_007884",0,0,0,0,0,0
"NM_009132",52,55,67,50,42,50
"NM_019439",133,103,172,168,143,113
"NM_001113550",1383,1199,1287,1204,1162,1087
"NM_001130150",3814,3311,3458,3556,3204,3230
"NR_122116",924,870,948,938,867,763
"NM_025575",1065,891,971,1041,1140,997
"NM_023326",190,128,130,247,234,182
"NM_023052",0,0,0,0,0,0
"NM_020564",0,0,0,0,1,0
"NM_018851",7337,4444,4703,11505,10662,9278
"NM_020561",6286,3807,4537,10101,8982,9368
"NM_019561",1053,844,989,1123,1061,943
"NM_020001",23,9,11,39,47,20
"NM_001253836",2987,2241,2818,2988,2873,2698
"NM_028765",7,8,3,12,3,16
"NM_028763",545,458,479,360,333,285
"NM_028762",753,535,571,434,530,467
"NM_030710",45,26,43,77,78,73
"NM_031874",3086,2834,3583,3197,2822,2611
"NM_030693",130,132,124,133,113,104
"NM_029702",513,470,553,557,534,491
"NR_030549",0,0,0,0,0,0
"NM_194061",10,13,10,10,6,15
"NM_181414",1075,941,1026,1121,1028,1008
"NM_001077661",789,711,861,749,701,741
"NM_001039648",0,0,0,1,0,1
"NM_001199485",420,298,389,376,291,298
"NM_007525",1623,1496,1599,1173,1125,1273
"NM_001253795",228,193,196,228,177,149
"NM_001253378",8,1,0,1,2,1
"NM_001291094",0,0,0,0,0,0
"NM_001291093",0,0,0,0,0,0
"NM_001159389",0,0,0,0,0,0
"NM_001159383",1,0,0,1,1,2
"NM_001159382",1,0,0,1,1,2
"NM_001159375",18700,16095,17887,15634,14737,12831
"NM_199150",1,2,0,1,0,1
"NM_199148",0,0,0,0,0,0
"NM_206896",0,0,0,0,0,0
"NM_199149",924,850,863,800,716,713
"NM_025369",302,271,287,260,254,219
"NR_036596",0,0,0,0,0,0
"NM_206537",0,0,0,0,0,0
"NM_206536",2401,1921,2356,3203,3049,2846
"NR_033642",27,13,22,34,38,25
"NR_108103",34,12,18,17,23,15
"NR_108101",1177,1002,1131,976,960,985
"NR_033640",0,0,0,0,0,0
"NR_033632",0,0,0,0,0,0
"NM_183312",28,20,14,7,7,5
"NM_178777",0,0,0,0,0,0
"NR_033634",0,0,0,0,0,0
"NM_183174",315,327,443,308,252,301
"NR_045802",0,0,0,0,0,0
"NR_045801",25,36,52,18,18,20
"NR_045800",0,0,0,0,0,0
"NR_045788",0,1,0,0,0,0
"NR_045781",61,63,63,59,51,57
"NR_038188",7,5,6,3,2,5
"NR_045780",8,10,6,5,12,7
"NR_045778",0,0,0,0,0,0
"NR_045777",1,0,2,0,0,0
"NR_045776",26,28,38,20,18,19
"NR_045775",171,167,191,159,133,150
"NR_045765",19,7,12,19,17,16
"NR_045764",2,0,0,1,0,0
"NR_045760",0,0,0,0,0,0
"NR_045759",0,0,0,0,0,0
"NR_045758",0,0,0,0,0,0
"NR_045753",3,1,0,0,0,0
"NR_045752",3,1,0,0,0,0
"NR_045751",3,1,0,0,0,2
"NR_045749",31,35,37,29,24,16
"NR_045748",0,0,0,0,0,0
"NR_045747",85,45,66,58,32,14
"NR_045746",255,269,350,252,196,213
"NR_045745",0,0,0,0,0,0
"NR_045744",0,0,0,0,0,0
"NR_045743",0,0,0,0,2,0
"NR_045742",41,48,35,32,38,37
"NR_045741",47,46,48,37,34,33
"NR_045739",2,1,3,0,0,0
"NR_045740",2,1,5,6,1,5
"NR_045738",0,0,0,0,1,0
"NR_045737",0,0,0,0,0,0
"NR_045734",0,0,0,0,0,0
"NR_045732",0,0,0,0,0,0
"NR_045731",0,0,2,0,0,0
"NR_045730",0,0,0,0,0,0
"NR_045728",24,16,22,9,2,4
"NR_045727",0,0,0,0,0,0
"NM_001012625",0,1,0,0,0,0
"NM_001003971",1064,906,1199,1068,1010,954
"NM_001033790",0,0,0,0,0,0
"NM_172571",803,563,666,449,397,339
"NM_001159503",1401,1168,1315,1659,1524,1622
"NM_001163028",6,9,4,4,3,6
"NM_001161840",89,100,116,79,40,53
"NM_178880",18990,15861,18540,15515,14390,14085
"NM_001122820",213,159,181,226,261,222
"NM_008818",0,0,0,0,0,0
"NM_008817",4,0,0,3,2,0
"NM_009272",585,675,614,449,399,424
"NM_009382",105,91,66,131,160,157
"NM_010301",324,315,311,337,327,321
"NM_145509",568,543,514,488,497,476
"NM_145510",851,905,1029,913,805,728
"NM_145508",495,308,288,299,289,256
"NM_145507",1540,1457,1704,1288,1127,936
"NM_145497",97,76,94,93,82,68
"NM_194347",0,3,1,2,0,0
"NM_026481",131,68,53,257,332,302
"NM_026480",1,1,0,1,1,2
"NM_026479",158,123,120,135,108,97
"NM_026476",5107,3754,4323,4166,3810,3598
"NM_001100116",3,4,5,5,6,7
"NM_001093753",3524,3107,3699,3121,3104,2880
"NM_001093752",3533,3118,3710,3130,3116,2886
"NM_001159769",2,0,0,1,0,0
"NM_001159745",2479,1168,1414,3111,3137,3029
"NM_001145960",132,66,84,158,158,162
"NM_001159392",205,195,181,280,271,316
"NM_001160402",73,28,32,35,35,19
"NM_001159401",43,21,41,20,17,7
"NM_001159568",1,0,1,0,1,0
"NM_001164072",2300,1922,2420,2236,1979,1846
"NM_001164071",2349,1959,2461,2268,2011,1888
"NM_001166399",88,52,72,90,81,85
"NM_001163701",364,291,303,276,269,213
"NM_001199432",12172,10689,11546,7320,7411,7110
"NM_013664",1503,1189,1550,1355,1390,1272
"NM_013663",8100,6888,7625,7125,6973,6141
"NM_026130",1797,1825,1999,1781,1765,1770
"NM_026127",1397,1220,1304,1230,1178,1121
"NM_029438",279,248,253,289,289,250
"NM_146932",0,0,0,0,0,0
"NM_010637",1563,742,623,2306,2477,2443
"NM_009635",16,15,16,11,13,8
"NM_009469",476,392,370,418,366,382
"NM_147031",0,0,0,0,0,0
"NM_146931",0,0,0,0,0,0
"NM_146930",0,0,0,0,0,0
"NM_001199310",4596,4401,4702,2857,2759,2505
"NM_008029",8,5,3,9,5,2
"NM_010254",4,10,15,19,10,11
"NM_001270806",0,0,0,0,0,0
"NM_001270793",0,0,0,0,0,0
"NM_001289474",9638,6455,7310,7903,7471,6765
"NR_029778",3,0,2,1,1,0
"NR_033171",0,0,0,0,0,0
"NR_033168",191,199,198,147,194,180
"NR_028577",13,4,9,17,14,10
"NR_028574",778,719,695,596,610,534
"NM_181585",59,33,32,30,33,21
"NR_028445",0,0,0,0,0,0
"NM_181548",0,0,0,0,0,0
"NR_033146",0,0,0,0,0,0
"NM_183187",2,0,0,0,0,0
"NM_183186",729,704,751,717,631,665
"NM_183185",44,31,30,42,65,37
"NM_183183",62,33,47,119,90,110
"NM_178690",1655,1322,1565,1509,1380,1305
"NM_183180",21,12,8,17,23,12
"NM_183179",0,0,0,0,0,0
"NM_183178",0,1,0,0,0,1
"NM_183177",7,0,1,0,0,0
"NM_183175",3,5,7,5,2,3
"NM_183172",783,662,819,739,682,671
"NM_183171",0,0,0,0,0,0
"NM_183168",167,83,99,327,341,346
"NM_183166",0,0,0,0,0,0
"NM_183165",551,503,544,576,562,523
"NM_183163",0,2,1,0,1,1
"NM_183162",900,895,860,984,844,843
"NM_178687",1731,822,869,1400,1365,1063
"NM_178681",0,0,0,0,0,0
"NM_183160",0,0,0,0,0,0
"NM_183158",157,73,102,338,292,318
"NM_001177669",1373,1078,1297,1503,1408,1310
"NM_001177940",19,15,10,7,9,5
"NM_001177939",19,15,10,7,9,5
"NR_029882",0,0,0,0,0,0
"NR_029881",0,0,0,0,0,0
"NR_029880",0,0,0,0,0,0
"NR_029719",5,3,3,5,1,1
"NR_029878",0,0,0,0,0,0
"NR_029877",0,0,0,0,0,0
"NM_021499",572,484,563,436,524,408
"NM_021508",3,3,3,8,10,7
"NM_177855",1363,684,722,506,562,363
"NM_010273",1965,1500,1681,1820,1475,1360
"NM_198656",0,0,0,0,0,0
"NM_001109685",4,10,7,3,7,3
"NM_001160330",318,277,350,272,264,288
"NM_001160252",0,0,0,0,0,0
"NM_001159513",16123,13004,14728,14381,14241,13513
"NM_009812",2454,2026,2325,2763,2659,2502
"NM_001110013",713,652,696,579,575,508
"NM_001170401",3020,2057,2250,3161,2841,2829
"NM_011263",1666,1595,1839,1648,1576,1600
"NM_011254",61,29,33,18,8,12
"NM_011403",12891,6312,5970,2806,2685,585
"NM_011340",462,307,347,338,391,340
"NM_011339",0,0,0,0,0,0
"NM_011402",0,1,0,0,0,0
"NR_110780",0,0,1,2,0,0
"NR_110579",0,0,0,0,0,0
"NM_029674",1,0,1,0,0,0
"NM_029061",0,0,0,0,0,0
"NM_025641",3083,2657,2906,3156,3087,2598
"NM_001290302",2,2,0,1,0,1
"NM_027044",2515,2074,2391,2838,2933,2441
"NM_134448",220,172,171,129,120,87
"NM_001122829",2083,1977,2037,1767,1641,1514
"NM_001163669",24,8,13,37,16,33
"NM_144936",4,0,2,1,1,3
"NR_040604",0,0,0,0,0,0
"NR_040594",0,0,0,0,0,0
"NR_039593",33,36,76,53,45,76
"NR_040603",0,0,0,0,0,0
"NM_001040435",4220,4089,4746,3663,3263,2968
"NM_146838",0,0,0,0,0,0
"NM_015810",311,227,240,304,314,285
"NM_016909",1271,1052,1113,1162,1153,1036
"NR_037961",180,158,181,187,207,186
"NR_029776",1,2,2,3,7,4
"NR_029775",15,11,9,11,19,24
"NR_029774",0,0,0,0,0,0
"NM_001034860",0,0,0,0,0,0
"NM_001082961",2,5,0,0,0,1
"NM_001085348",0,0,0,0,0,0
"NM_015805",1932,1547,1700,1716,1681,1506
"NM_015795",3,3,3,1,0,0
"NM_018822",427,277,280,381,458,434
"NM_018793",3041,2029,2268,2823,3058,2800
"NM_026896",364,319,340,352,297,323
"NM_001256107",772,598,738,765,730,726
"NM_010687",78,76,88,113,107,104
"NM_010917",14,11,16,28,9,15
"NM_010905",281,304,253,159,128,128
"NM_010772",3662,3673,3829,3304,2986,2936
"NM_009771",754,662,679,417,408,312
"NM_134249",3,1,3,1,2,5
"NM_134250",64,46,53,83,114,111
"NM_134248",7,4,7,1,3,1
"NM_134246",0,0,0,0,0,0
"NM_134189",1444,882,955,1301,1495,1272
"NM_134164",0,0,0,0,0,0
"NM_134163",5100,5249,6960,4427,3830,3805
"NM_134161",37,31,51,31,44,33
"NM_134159",6,16,11,13,17,8
"NM_134160",5,3,6,9,7,5
"NM_172812",195,117,126,59,37,25
"NM_001163660",1,1,3,2,5,0
"NM_001163471",42,46,39,34,44,40
"NM_011787",4748,4275,5098,4162,3963,3300
"NM_001162428",0,0,0,1,0,0
"NM_001162424",3834,3420,4388,3507,3063,2983
"NM_001162423",3859,3444,4405,3523,3074,2994
"NM_001162418",1009,599,583,514,585,508
"NM_001162417",693,411,435,364,450,410
"NM_001081083",47,67,67,80,52,54
"NM_001081307",416,325,310,311,293,291
"NM_001256004",0,0,0,0,0,0
"NM_001242943",56,36,42,46,56,30
"NM_001130177",3,0,0,1,0,1
"NM_001114596",4791,3403,3661,4415,4529,3889
"NM_001290738",981,774,926,968,883,773
"NM_001243001",0,0,0,0,0,0
"NM_001134299",0,0,0,0,0,0
"NM_008500",0,0,0,0,0,0
"NM_001271373",1370,786,944,1785,1764,1551
"NM_001130693",0,0,0,0,0,0
"NM_176962",655,463,571,604,579,530
"NM_175258",5736,5472,6744,4880,4086,3807
"NR_033571",66,52,61,34,29,36
"NR_033569",0,0,0,0,0,0
"NR_033628",67,54,58,70,51,56
"NR_033626",1,1,2,1,1,0
"NR_033618",0,0,0,0,0,0
"NR_033616",1,2,2,4,4,0
"NR_033615",738,861,797,748,658,696
"NR_033614",0,0,0,0,0,0
"NR_033591",0,0,0,0,0,0
"NM_011925",7268,4496,5309,6062,7319,7703
"NM_011697",99,114,118,72,76,57
"NM_011707",0,2,0,0,1,0
"NM_011924",0,0,0,0,0,0
"NM_012024",1167,1204,1331,1238,1068,1238
"NM_012023",4283,3473,3875,4563,4574,4026
"NM_199143",2635,2147,2682,2939,3005,2854
"NM_001271496",514,671,673,473,427,444
"NM_001271492",652,630,711,563,542,483
"NM_001271491",735,552,565,707,774,669
"NM_199200",21,9,9,12,6,8
"NM_001271490",799,596,628,770,827,733
"NM_210071",1082,1048,1003,914,945,883
"NM_001271470",661,676,780,579,536,510
"NM_001271468",1059,1052,1198,972,852,778
"NM_001105197",737,553,566,708,777,668
"NM_001271487",4702,4647,5228,4411,3774,3597
"NM_001271484",0,4,1,0,0,0
"NM_001271483",1,4,1,0,0,0
"NM_001271473",10,12,8,5,0,0
"NM_001271472",10,12,8,5,0,0
"NM_001271469",807,748,844,714,614,528
"NM_001271465",1019,854,1090,843,846,777
"NM_198957",647,605,711,671,797,721
"NM_198937",2447,2099,2477,2142,1943,1709
"NM_001271464",1013,848,1085,835,839,773
"NR_108041",66,81,85,57,45,39
"NM_001289504",40,32,39,33,29,29
"NM_008508",0,0,0,0,0,0
"NM_009152",1,1,1,0,0,0
"NM_010608",0,0,0,0,0,0
"NM_178621",0,0,0,1,1,0
"NM_001113353",394,399,421,332,284,303
"NM_001166437",143,147,122,93,81,87
"NM_001166432",11742,9146,10608,10148,10052,8693
"NM_028892",243,222,260,317,288,271
"NM_027869",1825,1562,1711,1655,1567,1402
"NM_028447",523,495,539,494,472,541
"NM_133800",218,180,195,214,199,159
"NM_080846",0,0,0,1,0,0
"NM_080729",0,0,0,0,0,0
"NM_080728",0,0,1,0,0,0
"NM_133783",400,407,453,368,344,322
"NM_133852",1700,1414,1525,1256,1228,1105
"NM_133780",10836,9784,11866,10320,9788,9446
"NM_009164",628,691,686,645,567,543
"NM_010446",0,0,0,0,0,0
"NM_010444",343,132,129,293,304,312
"NM_207229",0,0,0,0,0,0
"NM_001290656",410,416,420,340,298,329
"NM_029398",45,31,18,24,26,28
"NR_029746",23,9,9,7,8,9
"NR_029743",22,18,19,17,19,17
"NM_198303",2059,1994,2254,1966,1665,1607
"NR_073014",18,14,15,16,23,14
"NM_001163018",5722,5163,5973,4679,4293,4003
"NM_001161822",0,1,0,0,1,0
"NM_001161818",706,605,675,609,586,545
"NM_029837",2,4,4,0,1,0
"NM_029836",326,278,313,317,285,285
"NM_029834",3119,2611,2993,2977,2918,2640
"NM_029367",0,0,0,0,0,0
"NM_029362",3871,3220,3691,3844,3729,3506
"NM_029345",5,3,4,9,6,6
"NM_029825",1636,1276,1453,1553,1374,1314
"NM_029821",0,0,0,0,0,0
"NM_001166634",0,0,0,0,0,0
"NM_001141933",0,0,0,0,0,0
"NM_026560",2223,2200,2395,1877,1614,1585
"NM_026551",73,73,77,82,80,72
"NM_007984",9,3,5,3,3,3
"NM_011546",582,693,776,487,391,370
"NM_011197",73,37,37,80,93,68
"NM_172282",753,691,909,604,431,449
"NM_001111290",13155,12464,13801,12276,11285,10705
"NR_030453",0,0,0,0,0,0
"NM_178243",0,0,0,0,0,0
"NM_022964",1360,762,951,1830,1971,1615
"NM_025878",342,353,368,345,319,260
"NM_026344",239,250,262,228,244,242
"NM_026830",670,739,703,616,468,580
"NM_172587",174,92,115,199,218,199
"NM_172421",2930,2730,2965,2768,2500,2574
"NM_172418",3,1,5,1,1,3
"NM_001033197",0,0,0,0,0,0
"NM_001291237",171,138,134,82,70,58
"NM_001171640",14,20,28,10,14,20
"NM_001170632",3,0,0,0,0,1
"NM_001164099",8320,5004,5895,9703,10820,9693
"NM_011224",100,42,75,57,64,62
"NM_001286538",594,457,509,606,651,551
"NM_027292",422,292,266,127,110,28
"NM_027301",0,0,0,0,0,0
"NM_027289",1100,1015,1180,684,664,674
"NM_027290",1651,1620,1634,1275,1197,1193
"NM_027300",0,0,0,0,0,0
"NM_027288",1549,1325,1552,1676,1739,1604
"NM_027287",840,480,533,544,484,424
"NM_026627",0,0,0,0,0,0
"NM_026624",1744,1378,1537,1001,1152,912
"NM_026623",1926,1782,1824,1722,1825,1470
"NM_026620",687,568,664,466,415,431
"NM_027279",131,82,141,134,125,105
"NM_026615",783,630,666,684,698,567
"NM_011315",10,8,17,31,6,9
"NM_011478",0,0,0,0,0,0
"NM_011477",0,0,0,0,0,0
"NM_011475",0,0,0,0,0,0
"NM_011474",0,0,0,0,0,0
"NM_011472",0,0,0,0,0,0
"NM_011471",0,0,0,0,0,0
"NR_110894",16,8,20,5,6,6
"NR_001586",0,0,0,0,0,0
"NR_002167",0,0,0,0,0,1
"NR_002840",6201,5232,5326,4201,4097,3447
"NR_002841",2,0,0,1,3,1
"NM_001001496",3,6,8,4,6,4
"NM_178199",11202,9469,10619,8910,9242,8350
"NM_178208",33661,28872,33018,29143,32013,29967
"NM_178198",15663,15367,16526,13291,14041,12831
"NM_009667",1268,1176,1283,1059,945,1030
"NM_009740",1862,1339,1735,2115,2083,1891
"NM_010740",8136,5536,6176,5156,5562,6058
"NM_010739",861,670,666,458,339,340
"NM_028655",1,0,3,2,6,1
"NM_028654",0,0,0,0,0,0
"NM_028651",271,182,232,203,221,200
"NM_012061",0,0,0,0,1,0
"NM_023871",10251,9483,10003,8519,7511,6641
"NM_023868",1,2,2,2,0,0
"NM_025999",828,741,872,689,580,561
"NM_025997",796,625,674,981,866,802
"NM_026097",2045,1738,2106,1751,1504,1513
"NM_026107",624,543,611,567,591,527
"NM_026106",3221,2430,2793,4421,4127,4676
"NM_029548",24,14,24,11,7,3
"NM_026095",536,550,550,418,402,367
"NM_025995",2024,1906,2090,1655,1605,1498
"NM_026104",0,0,0,0,0,0
"NM_146938",0,0,0,0,0,0
"NM_009603",6,6,3,5,2,4
"NM_009602",57,48,48,43,45,46
"NM_009986",3494,3670,3793,3191,2934,3042
"NM_011220",1240,916,1137,1249,1133,1029
"NM_001271724",817,663,799,840,885,745
"NM_001277309",957,850,907,841,843,733
"NM_001271717",18,4,12,3,3,1
"NR_024208",0,0,0,0,0,0
"NM_001037762",237,176,224,218,239,211
"NM_001271727",395,424,405,125,122,35
"NM_001271726",386,422,402,123,119,33
"NM_001271809",1,2,1,0,0,0
"NM_181549",5,2,2,0,0,1
"NM_181543",19,18,20,13,11,21
"NM_181490",0,0,0,0,0,0
"NM_181406",710,596,694,584,507,522
"NM_029404",2151,1687,2062,2075,2053,2011
"NM_029844",2,1,0,3,1,1
"NM_029843",159,127,167,123,128,86
"NM_027650",0,0,0,0,0,0
"NM_027644",0,0,2,1,0,0
"NM_178114",47,35,30,28,21,16
"NM_027630",0,0,0,0,0,0
"NM_027627",1,0,0,0,1,0
"NM_028226",166,158,186,216,219,186
"NM_001290273",8,2,8,3,5,2
"NM_175483",202,131,147,207,179,199
"NM_175482",280,319,321,292,287,283
"NM_007636",6986,6220,6675,6057,5887,5175
"NM_007635",1482,1126,1377,1734,1685,1716
"NM_007634",2221,2354,2442,1820,1946,1944
"NM_007586",0,0,0,0,0,0
"NM_008388",5345,4331,5000,5558,5358,4562
"NM_009678",34,22,17,21,19,23
"NM_001164413",683,712,657,629,609,693
"NM_147040",0,0,0,0,0,0
"NM_198004",572,476,559,671,608,502
"NM_007818",0,0,0,0,0,0
"NM_008604",11,7,2,7,7,1
"NM_007875",453,445,445,346,330,382
"NM_007874",2243,1996,2033,2745,2804,2379
"NM_007873",3,0,0,2,0,2
"NM_008082",0,0,0,0,0,0
"NM_007978",235,168,187,203,247,192
"NM_177475",425,463,432,398,340,364
"NM_009994",10,4,2,5,10,0
"NM_001163501",1194,1270,1243,1278,1298,1188
"NM_001163490",2288,2242,2444,2379,2352,2402
"NM_001252560",2556,2349,2690,2112,2046,2092
"NM_001256098",443,393,391,544,598,696
"NM_001290448",2135,1834,2183,1821,1788,1679
"NM_145520",911,740,755,776,637,575
"NM_178748",0,0,0,0,0,0
"NM_001252440",1203,1228,1521,1279,994,1045
"NM_001252439",1211,1231,1525,1286,996,1050
"NM_001252438",1229,1246,1543,1297,1009,1062
"NM_001252437",1133,824,987,923,1001,886
"NM_001252382",3400,1633,1788,5245,5847,5458
"NM_001252342",0,0,0,0,0,0
"NM_001252341",0,0,0,0,0,0
"NM_001252330",3,4,11,1,3,2
"NM_018871",4028,3312,3485,3305,3433,3435
"NM_018870",95,86,84,141,125,108
"NM_020570",540,481,559,414,357,357
"NM_176834",3,6,6,4,3,3
"NM_054048",159,54,67,32,43,27
"NM_054046",2014,1884,2022,1689,1517,1355
"NM_031867",58,41,47,45,28,33
"NM_031842",355,332,303,264,266,273
"NM_033604",1401,1307,1479,1495,1470,1467
"NM_025298",1075,1030,998,833,791,765
"NM_030746",1,2,0,0,1,2
"NM_029232",0,0,0,0,0,0
"NM_025666",2308,2171,2568,1955,1938,1733
"NM_026166",407,245,317,311,306,254
"NM_026165",1851,1509,1780,1772,1706,1574
"NM_177351",3,0,6,5,8,3
"NM_153808",2293,1982,2328,2061,1907,1900
"NM_018808",2395,2240,2624,1889,2113,1782
"NM_018807",685,993,958,781,685,760
"NM_001098799",10,5,1,1,0,2
"NM_001098789",6,4,8,0,3,4
"NM_001111316",18717,12512,16376,24065,24914,21867
"NM_001165940",8,13,15,6,4,9
"NM_001165939",9,15,15,6,4,10
"NM_001177656",0,0,0,0,0,0
"NM_001164661",4672,3311,4033,5231,4948,4556
"NM_001284227",2814,3123,3601,2473,2411,2290
"NM_024244",0,0,0,1,1,0
"NM_001122896",7650,6645,7499,5935,5780,5889
"NM_013733",2275,2234,2238,1428,1345,1369
"NM_013542",10,29,14,21,18,12
"NM_001291124",202,172,184,175,144,143
"NM_013541",1229,1033,1006,1182,1107,928
"NM_001166581",660,486,754,504,482,438
"NM_001166557",71,35,59,252,199,219
"NM_001168600",1776,1600,1770,1455,1378,1253
"NM_001170788",17,16,18,5,4,4
"NM_001135657",4051,2588,2921,3903,3937,3905
"NM_001123371",443,411,418,312,257,195
"NM_001252680",0,0,0,0,0,0
"NM_019484",183,135,162,281,241,206
"NM_001033962",3987,3181,3937,3510,3284,3009
"NM_001159538",1032,646,646,1063,1214,1147
"NM_145505",1941,1979,2214,1593,1491,1603
"NM_145495",18,14,14,8,11,14
"NM_133972",351,270,306,277,256,210
"NM_145493",0,0,0,0,0,0
"NM_145492",48,39,53,48,48,53
"NM_145554",2010,2079,2308,1599,1465,1351
"NM_145501",432,271,265,466,476,485
"NM_001277289",1997,1830,1263,506,404,155
"NM_175674",0,0,0,0,0,0
"NM_175669",91,62,162,153,130,175
"NM_175668",22,12,23,20,16,20
"NM_175667",0,0,0,0,0,0
"NM_175651",0,0,0,0,0,1
"NM_175650",0,0,0,0,0,0
"NM_175649",651,721,813,540,332,374
"NM_175648",256,113,134,206,169,93
"NM_175646",411,364,481,487,326,337
"NM_177025",34,30,23,22,39,41
"NM_175644",0,2,0,0,0,1
"NM_175531",0,0,0,0,0,0
"NM_175490",4,2,0,1,3,2
"NM_175500",0,0,0,0,0,0
"NM_001177857",0,0,0,0,0,0
"NM_001168515",1613,1337,1519,1280,1254,1092
"NR_038019",0,1,2,0,0,0
"NR_038017",68,34,38,18,17,5
"NM_198305",588,484,644,565,491,472
"NM_001290461",27,29,31,30,24,22
"NM_001290459",3,2,1,1,5,2
"NM_001290520",2,0,0,2,0,0
"NM_198304",1397,1595,1413,1034,976,1075
"NM_001168509",1018,1420,1854,790,500,584
"NM_001167967",1003,889,1056,922,998,942
