NFKB2
LY6E
LCP2
FUOM
MVD
ZBP1
IFIT3
SHISA5
SMPDL3B
TMEM86A
SMIM29
MX1
IFI35
CD74
OAS1
EMP3
CBFA2T3
OTOF
EPSTI1
RELB
IFITM3
SLC22A18
CREB3
UNC93B1
TRIM16
MFSD5
COMMD7
BST2
MEFV
C11orf68
SIGLEC1
ECHS1
USP18
TRIM21
CMPK2
GBP6
CTNNBIP1
HLA-DMB
PSME1
SLC35F6
CYP4F3
SLC43A2
CCDC85B
ICAM1
PSMD8
FIBP
ARPC1A
TRIM5
NDRG1
TRPV4
FAM89B
NPC2
FMNL1
SGK1
SCAND1
ZYX
POU2F2
ATP6V1F
DGUOK
ATRAID
MAP7D1
NINJ1
CFL1
CD22
PPP1R11
CMTM3
DTX3L
IRF7
MILR1
PIK3R5
DTX2
CERS5
TRAFD1
CST3
ALYREF
CASP8
KCNAB2
HMOX1
LTBR
TNFRSF1B
RAB8A
MAP3K14
PTAFR
GATC
TM2D2
OLFM1
TAGAP
SPACA9
PTPN6
MOB3A
TRAPPC1
XAF1
IRF2
GNPDA1
HLA-DOA
CD14
SAMD9L
DPEP2
CRYL1
KIF9
RARA
MYO1F
ADAR
MVB12A
DAZAP2
ZCCHC24
PLA2G7
PSMB8
ORAI3
PPP1R9B
AKNA
TNFRSF1A
HIGD2A
C6orf47
PDLIM1
HAAO
LIPA
IRF1
CYTH4
TYK2
PPP1R18
RTP4
NOTCH1
ZNF775
ZNF296
IRAK2
GNG11
S100A10
LPAR5
NME2
PYCARD
IP6K1
RENBP
APOBR
IFIH1
STX5
SH3BGRL3
LFNG
SELPLG
WNT6
FCGR2C
LSP1
MIA2
EEPD1
CLN3
IFI16
ST3GAL4
CTSA
TRIM26
CHMP4B
ARCN1
ARAP1
NAGK
GBP2
GRK2
GLMP
PGAM2
MPND
TLE3
UVRAG
FCGR1A
IRF9
LAPTM5
ITM2C
CDC42EP4
APBB1IP
ACTA2
LILRB3
COMMD4
NADK
HDAC5
RNH1
BRI3
ACTB
NEDD9
TYROBP
DOCK4
STX3
CDC14B
ARPC5
TRADD
CAMK1
GLIPR2
PAK4
CEACAM19
IFT46
CD40
TESK1
IFITM1
CDKN1A
TSEN34
ARHGAP45
SIGMAR1
PITPNA
PARP12
UBAC2
SLC15A3
SZRD1
RIN3
DEXI
SPIB
TNFSF12
TSPAN31
OGFR
KMO
P2RY6
HLA-DQB2
IFITM2
SH3KBP1
LITAF
LYN
NRGN
DHX58
AP5S1
CCR1
NKIRAS2
TFEB
ANXA7
RPS6KA4
SRGAP2C
TFE3
RERE
CTBS
FCGR2A
ANXA6
STK40
IFNAR1
PPT1
WIPF1
PARP14
PIK3CD
FAM234A
SNX20
TAX1BP3
SLC29A3
COLEC12
FTL
RARG
CIAO3
CYBC1
ARRDC3
CSTB
ZNF394
LY86
PSMB10
TMEM109
RTF2
CAPZB
RASGRP4
APCDD1
HCLS1
CAPG
MYO1G
TMEM176B
ZNF34
CD53
PPEF2
ASB13
LRRK1
MARCKS
F13A1
TMEM104
TMEM176A
ARHGAP9
HCK
MTHFR
SEMA4D
ARHGEF11
CCDC28B
CIITA
YIPF1
COTL1
TMEM229B
TOR1B
CIB1
TDRD7
GBP5
PPFIBP2
TMEM141
MBP
TLR2
STARD3
ALPK1
SPTSSA
THEMIS2
LENG9
KIFC3
ABCG1
LAMP2
GLTP
RHEBL1
BRSK1
BID
ARHGAP30
SLC15A4
CACFD1
CDC42SE1
WNK2
RNF149
PSAP
MYD88
KIF3C
LST1
ANKRD13D
PREX1
SIRPA
DAXX
FCRL1
ARPC1B
HMOX2
VPS26C
APAF1
BCL10
LAT2
PMAIP1
EIF4E3
PLEKHA2
SLC9A7
STAT1
LMF1
NOD1
IL13RA1
MYADM
CDK9
EXOC3
BORCS6
HDHD5
ICOSLG
CFAP410
STK4
MVP
DLGAP4
STAT2
PRKCE
FICD
CCL23
SEC14L1
GRAP
PLD4
CLTA
TNIP2
TLR9
IRF5
LYSMD1
PSME2
GAB2
