CKAP2L
ECT2
GLS2
PPRC1
COX11
TSHR
SLC25A39
CDK2
MYBBP1A
CDT1
CEBPE
ALDH18A1
MCPH1
KCNN4
SCAP
SLC43A1
SQLE
EXOSC7
IL12A
NOP9
GNB1L
CUL7
PPFIA1
MEMO1
NCOR1
PLXNA2
LRRC1
SNED1
P3H1
PLSCR3
TBCCD1
VARS2
GYPE
NSUN2
SOAT2
CA1
CENPT
PRMT7
LMNA
PLOD2
ABCA13
TXNL1
CARHSP1
FKBP9
SLC40A1
SLC39A11
SMARCA4
EIF2B4
GNAL
VKORC1L1
STXBP5
CCDC116
KCNK5
DMKN
KAT2A
OSBPL1A
DPY30
KIAA1958
MYO7A
CITED4
HASPIN
FASN
E2F3
MBOAT2
HOMER2
APLF
STXBP1
DNLZ
MOGS
DUT
POLR1A
PDZK1IP1
TANC1
RPA2
RRP15
EPDR1
NME4
THOP1
TAPT1
DAZAP1
TFDP1
HDLBP
TONSL
RAD18
HK3
FAN1
LHFPL6
ODF2
TMTC3
FZR1
BOP1
SGCE
TNPO2
NOMO3
CBX4
SF3B3
SERPINB1
SPECC1
TMEM120B
RGS12
USP6NL
BRCA2
GPC1
NOP14
RCC2
TMX4
MCM3
MAP3K13
GLB1L
SLC25A37
HMMR
TMEM158
CPD
NOP56
AQP1
HBQ1
GRINA
ROBO3
CKAP4
SLC25A51
EEF1D
CCT3
HSP90AB1
PIP5K1B
PUS1
EIF4ENIF1
GET4
KLF7
NUDT3
MCM2
RPN1
NRARP
GUK1
TANGO6
HBEGF
HOXA9
MICAL1
MYO1D
EAF1
KIF13B
NVL
CCDC15
BZW2
CEP128
S100A8
SRP68
KIF20A
PFDN1
POMT1
TCEAL9
UNC45A
TXNRD3
SHF
ADTRP
AGAP1
DNMT1
BTBD8
ALMS1
DAP3
CHTF18
PHLDB3
PPM1B
COQ9
SH2B1
GON4L
DLC1
TROAP
ACTL6A
EIF3B
GFOD1
ADGRL1
ANGPT1
ACBD6
RBM15B
ANAPC5
SNRPD3
AGPAT5
DUSP8
MYO18A
FAM185A
GABARAPL1
PRPF8
QSOX1
GANAB
PMS2
P3H2
HEATR3
RAD54L2
TPX2
MSH2
NCAPH
HACD3
MFHAS1
NPHP1
UROD
PLAU
DELE1
FBXW8
TSR1
EDC4
DMTN
TMEM41B
POM121
BMPR1A
RAB4A
ARMCX1
XPO5
PFAS
CPEB4
YBX3
BUB1
SPDL1
KCTD7
CYFIP2
NTN4
RCOR1
ZCCHC3
TFPI
FHDC1
CD177
FAHD1
CDC23
CASP7
DROSHA
ST6GALNAC4
SPN
AARSD1
LAT
DIDO1
BTNL9
PTBP1
MTURN
B4GALT3
PSMD9
CST7
RRM2
DACH1
FN3K
MXI1
KNTC1
CDAN1
TIE1
WIPI1
RIDA
ANKRD33B
GDE1
UBXN2A
TAL1
SYDE2
LONRF2
CCNJ
ZMYM3
DONSON
NOLC1
TK1
PA2G4
TCF3
STEAP3
XRCC2
NEFH
WDR6
BLM
ALDH4A1
RMDN3
CDC42BPA
PRIM1
UHRF1
BSG
UBR7
F2RL3
TRIM24
ARHGEF40
ORM2
SUSD1
WDR76
GLRX5
YAF2
POLR1B
RCL1
IBA57
GMPR
F5
HADHA
TMEM9
MORF4L2
SLC5A2
BCORL1
ACHE
TMEM163
DNMT3A
MARS2
NUP210
GALNT2
SLBP
PUS7
NCOA4
C1QTNF4
PHRF1
POLQ
PFKFB2
FBXL14
SERPINB6
ZMPSTE24
CLSTN1
AHCTF1
GFM1
EPG5
CKS2
DNAH6
E2F8
FUNDC2
ACSS1
COX10
PPP2R5B
YARS2
CAD
POLE
PGLYRP1
MCM4
PLEK2
GTF2I
VCL
NUDT9
RRP1B
SLC20A2
MTF1
C1GALT1
RCCD1
MFSD2B
RBM15
LRP8
WDR90
SNX15
AFG3L2
SPOUT1
LUC7L2
ADAM12
SMO
KNSTRN
SYNM
BTN1A1
KIAA0586
PSMG1
MINPP1
ATRN
DST
SYNGAP1
VLDLR
